Auction ID,Bank/Organisation Name,City/District/Location,Auction Date,Reserve Price,Source
64934,Au small finance bank,"THIMAU BARI, Churu, Rajasthan",12/08/2025,"₹10,50,000",Albion
64937,Au small finance bank,"Gangadhar, Jhalawar, Rajasthan",12/08/2025,"₹13,50,000",Albion
2717,Punjab National Bank,"chennai, Tamil Nadu",11/08/2025,"₹59,50,000",Albion
2718,Punjab National Bank,"chennai, Tamil Nadu",11/08/2025,"₹55,53,000",Albion
4168,Repco Home Finance,"Tiruppur, Tamil Nadu",11/08/2025,"₹24,09,000",Albion
18364,Canara Bank,"Tiruvallur, Tamil Nadu",11/08/2025,"₹77,68,000",Albion
33070,UCO Bank,"Madurai, Tamil Nadu",11/08/2025,"₹45,00,000",Albion
33631,UCO Bank,"Madurai, Tamil Nadu",11/08/2025,"₹17,60,000",Albion
33943,Punjab National Bank,"Kanchipuram, Tamil Nadu",11/08/2025,"₹43,20,000",Albion
34413,Indian Overseas Bank,"Kanyakumari, Tamil Nadu",11/08/2025,"₹36,80,000",Albion
63343,Punjab National Bank,"South 24 Parganas, West Bengal",11/08/2025,"₹24,51,000",Albion
26901,Canara Bank,"Namakkal, Tamil Nadu",11/08/2025,"₹1,03,50,000",Albion
26902,Canara Bank,"Namakkal, Tamil Nadu",11/08/2025,"₹28,80,000",Albion
28874,Punjab National Bank,"Chennai, Tamil Nadu",11/08/2025,"₹87,74,000",Albion
65811,Punjab National Bank,"Kanchipuram, Tamil Nadu",11/08/2025,"₹36,00,000",Albion
65812,Punjab National Bank,"Kanchipuram, Tamil Nadu",11/08/2025,"₹36,00,000",Albion
68165,Canara Bank,"Udupi, Karnataka",11/08/2025,"₹4,34,96,000",Albion
68183,Karnataka Bank,"Vembayam, Thiruvananthapuram, Kerala",11/08/2025,"₹13,50,000",Albion
68148,Punjab National Bank,"Ranchi, Jharkhand",11/08/2025,"₹58,04,600",Albion
68147,Punjab National Bank,"Ranchi, Jharkhand",11/08/2025,"₹3,83,45,000",Albion
68210,Canara Bank,"Kakinada Rural Mandal, Kakinada, Andhra Pradesh",11/08/2025,"₹1,71,74,000",Albion
68038,Canara Bank,"Nagapattinam, Tamil Nadu",11/08/2025,"₹43,20,000",Albion
68136,jana small finance,"Phillaur, Ludhiana, Punjab",11/08/2025,"₹38,93,500",Albion
68216,PNB Housing Finance,"Gorrekunta, Warangal, Telangana",11/08/2025,"₹23,66,000",Albion
68217,Karnataka Bank,"Dakshina Kannada, Karnataka",11/08/2025,"₹16,20,000",Albion
68219,Karnataka Bank,"Dakshina Kannada, Karnataka",11/08/2025,"₹4,40,000",Albion
68221,Karnataka Bank,"Dakshina Kannada, Karnataka",11/08/2025,"₹20,00,000",Albion
64990,Repco Home Finance,"Krishnagiri, Tamil Nadu",11/08/2025,"₹31,06,000",Albion
67386,ICICI Bank,"Malleswaram, Bangalore Urba, Karnataka",11/08/2025,"₹3,42,00,000",Albion
67347,PNB Housing Finance,"Coimbatore, Tamil Nadu",11/08/2025,"₹12,20,000",Albion
67346,PNB Housing Finance,"Coimbatore, Tamil Nadu",11/08/2025,"₹12,20,000",Albion
